abstention_reason,branch,burst_count,capture_id,class_probability,decision_window_id,evaluation_domain,final_decision,predicted_class,true_physical_unit_id,window_duration_s
,engineered_rf,378,BLE-IQ-34ea17e90523,0.9690721649484536,BLE-IQ-34ea17e90523-decision-win-00000,TEST,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,261,BLE-IQ-35c76d0b70d1,0.9166666666666666,BLE-IQ-35c76d0b70d1-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,101,BLE-IQ-38c194c1c707,0.40625000000000006,BLE-IQ-38c194c1c707-decision-win-00000,,UNKNOWN,CC2541SensorTag,,10.0
,engineered_rf,5,BLE-IQ-38c194c1c707,0.6210526315789474,BLE-IQ-38c194c1c707-decision-win-00001,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,637,BLE-IQ-3b50e0d037bf,0.989247311827957,BLE-IQ-3b50e0d037bf-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,202,BLE-IQ-3f68fa24ba01,0.5340314136125655,BLE-IQ-3f68fa24ba01-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,108,BLE-IQ-3f68fa24ba01,0.9696969696969697,BLE-IQ-3f68fa24ba01-decision-win-00000,TRAIN,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,308,BLE-IQ-4455f452717d,1.0,BLE-IQ-4455f452717d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,90,BLE-IQ-4455f452717d,1.0,BLE-IQ-4455f452717d-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,66,BLE-IQ-44f1cf57882e,1.0,BLE-IQ-44f1cf57882e-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,517,BLE-IQ-44f1cf57882e,0.9418604651162791,BLE-IQ-44f1cf57882e-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,436,BLE-IQ-45eb6599efb3,0.9787234042553191,BLE-IQ-45eb6599efb3-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,83,BLE-IQ-4e640e6fe707,0.78,BLE-IQ-4e640e6fe707-decision-win-00000,VALIDATION,IDENTIFIED,keyfobdemo 01,keyfobdemo 02,10.0
,engineered_rf,217,BLE-IQ-4e640e6fe707,1.0,BLE-IQ-4e640e6fe707-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,313,BLE-IQ-56bd28663237,0.6808510638297872,BLE-IQ-56bd28663237-decision-win-00000,VALIDATION,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,319,BLE-IQ-58b612105939,1.0,BLE-IQ-58b612105939-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,81,BLE-IQ-58b612105939,1.0,BLE-IQ-58b612105939-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,59,BLE-IQ-5925bbfea83b,0.8181818181818181,BLE-IQ-5925bbfea83b-decision-win-00000,,IDENTIFIED,keyfobdemo 01,SHELLY-PLUG-01,10.0
,engineered_rf,231,BLE-IQ-5937efc15f83,0.9375,BLE-IQ-5937efc15f83-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,514,BLE-IQ-5c559e4b6901,0.96875,BLE-IQ-5c559e4b6901-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
