condition,balanced_accuracy,ci_low,ci_high,macro_f1,accuracy,n_examples,physical_unit_id,physical_unit_pseudonym,recall
FULL,0.6338138990398197,0.5912219610540254,0.6850857789866278,0.5864106215528908,0.7494325919201089,2203,CC2541SensorTag,TX-01,0.7807486631016043
FULL,0.6338138990398197,0.5912219610540254,0.6850857789866278,0.5864106215528908,0.7494325919201089,2203,CC2650-UNIT-01,TX-05,0.9518072289156626
FULL,0.6338138990398197,0.5912219610540254,0.6850857789866278,0.5864106215528908,0.7494325919201089,2203,keyfobdemo 01,TX-03,0.7964497041420119
FULL,0.6338138990398197,0.5912219610540254,0.6850857789866278,0.5864106215528908,0.7494325919201089,2203,keyfobdemo 02,TX-04,0.00625
POWER_AMPLITUDE_LEVEL,0.23807126744487045,0.15835265512366165,0.33302874860803106,0.2553550983196116,0.4298683613254653,2203,CC2541SensorTag,TX-01,0.25133689839572193
POWER_AMPLITUDE_LEVEL,0.23807126744487045,0.15835265512366165,0.33302874860803106,0.2553550983196116,0.4298683613254653,2203,CC2650-UNIT-01,TX-05,0.18674698795180722
POWER_AMPLITUDE_LEVEL,0.23807126744487045,0.15835265512366165,0.33302874860803106,0.2553550983196116,0.4298683613254653,2203,keyfobdemo 01,TX-03,0.5142011834319526
POWER_AMPLITUDE_LEVEL,0.23807126744487045,0.15835265512366165,0.33302874860803106,0.2553550983196116,0.4298683613254653,2203,keyfobdemo 02,TX-04,0.0
REMAINING_SIX,0.7867824524055784,0.7489249584802024,0.830536443702588,0.515925557906666,0.5501588742623695,2203,CC2541SensorTag,TX-01,0.8449197860962567
REMAINING_SIX,0.7867824524055784,0.7489249584802024,0.830536443702588,0.515925557906666,0.5501588742623695,2203,CC2650-UNIT-01,TX-05,0.9578313253012049
REMAINING_SIX,0.7867824524055784,0.7489249584802024,0.830536443702588,0.515925557906666,0.5501588742623695,2203,keyfobdemo 01,TX-03,0.4443786982248521
REMAINING_SIX,0.7867824524055784,0.7489249584802024,0.830536443702588,0.515925557906666,0.5501588742623695,2203,keyfobdemo 02,TX-04,0.9
